Accession,Gene ID,Description,Taxonomy,Protein FDR Confidence: Combined,Missing values,Log10(S/N),# Unique Peptides,Resting_1,Resting_2,Activated_1,Activated_2,24h_Mock,24h_Pos,24h_Neg,48h_Mock,48h_Pos,48h_Neg
Q9H1K6,MESDC1,Mesoderm development candidate 1 ,Homo sapiens ,High,0,3.27149310218566,2,285.7,282.2,145.7,148.4,156.8,144,171.7,180.2,180.2,173.6
Q14696,MESDC2,LDLR chaperone MESD ,Homo sapiens ,High,0,4.27643882502131,10,2346,2164.2,1969.7,2057.7,1881.3,2254.1,1484.2,1445.1,1741.6,1555.1
P53582,METAP1,Methionine aminopeptidase 1 ,Homo sapiens ,High,0,4.32310765518552,18,1958.4,1996.1,2041.5,1891.3,2407.2,1974.3,2186.7,2118.1,2022.2,2447.2
Q6UB28,METAP1D,"Methionine aminopeptidase 1D, mitochondrial ",Homo sapiens ,High,0,3.59537495516825,4,501.1,496.7,417.8,430.8,367.9,426.6,294.5,250.8,386.6,366.1
P50579,METAP2,Methionine aminopeptidase 2 ,Homo sapiens ,High,0,4.27590536709449,20,1342.6,1254.9,2118.2,2097.8,2381.5,1803,2441.3,2224.2,1627.8,1584.5
Q9UBP6,METTL1,tRNA (guanine-N(7)-)-methyltransferase ,Homo sapiens ,High,0,4.13091244210747,9,669.9,553.2,1617.9,1441.4,1699,1206.5,1809.2,1611.4,1373,1536.5
Q5JPI9,METTL10,Protein-lysine N-methyltransferase METTL10 ,Homo sapiens ,High,0,3.30285021270231,5,160.2,171.4,205.1,183.2,190.5,166.3,241.8,247.6,207.3,235
Q8N6R0,METTL13,Methyltransferase-like protein 13 ,Homo sapiens ,High,0,4.34185180075169,23,1707.8,1667.7,2306.1,2484.7,2770.6,2394.8,2190.2,2354.8,2099.6,1994.8
Q9HCE5,METTL14,N6-adenosine-methyltransferase subunit METTL14 ,Homo sapiens ,High,0,4.08512996306367,15,1602.1,1502.3,1076.5,942.8,1061.1,921,1292.8,1314.5,1137.8,1314.6
A6NJ78,METTL15,Probable methyltransferase-like protein 15 ,Homo sapiens ,High,0,3.89077300678336,10,388.9,456.3,779.4,927.7,815.2,1036.5,779.1,1013.3,779.7,800.2
Q86W50,METTL16,Methyltransferase-like protein 16 ,Homo sapiens ,High,0,4.45301698194795,19,4032.3,3839.3,3153.7,2828.9,2905,2229.2,2610.6,2271.5,2038.4,2471.4
Q9H7H0,METTL17,"Methyltransferase-like protein 17, mitochondrial ",Homo sapiens ,High,0,3.75817735930317,6,673.7,489.7,815.3,723.8,619.9,633.2,509.9,421.6,417,426.2
O95568,METTL18,Histidine protein methyltransferase 1 homolog ,Homo sapiens ,High,0,3.69869196688612,7,410.7,381.5,530,513.2,520.6,509.1,582.8,557.8,547.1,444
Q8WXB1,METTL21A,Protein N-lysine methyltransferase METTL21A ,Homo sapiens ,High,0,3.75588247480709,4,312.5,358.1,558.1,639.5,589.4,572.7,680.2,801.8,674,513.8
Q8N6Q8,METTL25,Methyltransferase-like protein 25 ,Homo sapiens ,High,0,3.14426277376199,5,184.4,206.2,164.3,136.4,130.6,150.7,88,96.2,101.9,135.3
Q6P1Q9,METTL2B,Methyltransferase-like protein 2B ,Homo sapiens ,High,0,4.09663892866423,11,341.4,235,1772.9,1552.2,1633.5,1256.7,1705.8,1513.8,1208.1,1272.8
Q86U44,METTL3,N6-adenosine-methyltransferase 70 kDa subunit ,Homo sapiens ,High,0,4.52819913644232,25,3994.4,3751,3119.1,2965.5,3385,2875.9,3501.7,3620.2,3120.7,3410.7
Q8N3J2,METTL4,Methyltransferase-like protein 4 ,Homo sapiens ,High,0,3.06160324960838,3,82.3,67.7,134.4,116.2,127.7,126,124.1,97.3,151.2,125.5
Q9NRN9,METTL5,Methyltransferase-like protein 5 ,Homo sapiens ,High,0,3.86317410366005,4,385.2,295.2,1085,897.2,1037.8,650.8,983.7,751.3,482.6,728.7
Q8TCB7,METTL6,Methyltransferase-like protein 6 ,Homo sapiens ,High,0,3.4418050696957,3,146.9,137.3,293.2,301.2,290.1,283.1,347.7,398.7,290.8,276.7
Q9H825,METTL8,Methyltransferase-like protein 8 ,Homo sapiens ,High,0,3.87028097434971,4,259.4,225.8,664.1,704.7,713.9,1004.5,931.6,886,1173.5,854.4
Q9H1A3,METTL9,Methyltransferase-like protein 9 ,Homo sapiens ,High,0,3.11971765910549,2,109.2,116.4,132.9,134.4,101.6,170.4,169.3,127.2,151,105
Q5U5Q3,MEX3C,RNA-binding E3 ubiquitin-protein ligase MEX3C ,Homo sapiens ,High,0,2.9613736275948,2,76.3,105.4,92.3,118,83.6,106.5,79.4,92.6,94.7,66.1
P55081,MFAP1,Microfibrillar-associated protein 1 ,Homo sapiens ,High,0,4.53160918584748,15,2859.8,2268.8,4265,3667.9,3842.3,3959.2,3483.8,3119.6,3292.4,3251.4
Q9GZY8,MFF,Mitochondrial fission factor ,Homo sapiens ,High,0,3.75421068536607,6,593.1,480.7,670.9,602.2,486.6,665.3,602.8,445.4,586.7,544.5
Q9GZY8-4,MFF,Isoform 4 of Mitochondrial fission factor ,Homo sapiens ,High,0,2.26717172840301,2,22.6,24.4,18.7,18.3,21.8,19.1,15.8,13.9,16.9,13.5
Q9Y4C4,MFHAS1,Malignant fibrous histiocytoma-amplified sequence 1 ,Homo sapiens ,High,0,3.70629095725876,8,327.7,315.8,548,609.8,565.3,581.7,527,552.5,546.8,510.4
Q8IWA4,MFN1,Mitofusin-1 ,Homo sapiens ,High,0,4.28018213495102,21,1206.8,1250.8,1805.6,1861,1990,2565.3,1939.5,2029.8,2436.7,1977.1
O95140,MFN2,Mitofusin-2 ,Homo sapiens ,High,0,4.48943813884058,26,3271.6,3024.7,3277.5,3194,3125.1,3260.2,3056,2856.9,2980.6,2816.4
O00587,MFNG,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe ",Homo sapiens ,High,0,2.37876117531637,2,19,16.9,35.3,33.5,30.1,31.7,24.4,16.1,15.2,17
Q14728,MFSD10,Major facilitator superfamily domain-containing protein 10 ,Homo sapiens ,High,0,3.92382924796707,5,762.7,916.9,669.5,719.1,681.5,955.4,773.6,927.8,1106.2,878.6
Q6N075,MFSD5,Molybdate-anion transporter ,Homo sapiens ,High,0,3.02999217537785,3,89.3,87.6,124.6,114.9,129.3,148.3,94.7,109.8,79.5,93.5
Q6ZSS7,MFSD6,Major facilitator superfamily domain-containing protein 6 ,Homo sapiens ,High,0,3.49745490961318,5,208.6,209.8,297.2,258.8,315.9,430.8,308.2,327.6,448.2,338.7
Q8NBP5,MFSD9,Major facilitator superfamily domain-containing protein 9 ,Homo sapiens ,High,0,2.77114634881498,2,61.8,57.8,62.8,46.5,50.1,62.4,60.7,53.7,70.9,63.7
Q8IWI9,MGA,MAX gene-associated protein ,Homo sapiens ,High,0,4.75925147775581,67,3372.7,3234.7,6014.6,6411.1,6242.3,7530.3,6331,6091.5,6141,6075.7
P26572,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase ",Homo sapiens ,High,0,4.08305447771858,12,1038.5,1044.1,1160.8,1250.3,1263.7,1558.5,1280.3,1269.7,1031.5,1210.1
Q10469,MGAT2,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase ",Homo sapiens ,High,0,4.09889626988251,9,949.2,877.3,1304.6,1267,1368.1,1450.3,1352.5,1344.7,1202.9,1440.7
Q9UM21,MGAT4A,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A ",Homo sapiens ,High,0,3.90751347247178,8,1105.3,1021,732.7,729.2,639.2,732.6,766.9,775.6,814.4,765
Q9UQ53,MGAT4B,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B ",Homo sapiens ,High,0,3.44661482366427,4,145.9,135.7,229.3,252.7,282.8,388,319.6,409.7,292.4,340.4
Q09328,MGAT5,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A ",Homo sapiens ,High,0,3.3515644152041,5,183.5,177,323.8,332.4,220,279.5,204.3,158.1,188.5,179.7
O60502,MGEA5,Protein O-GlcNAcase ,Homo sapiens ,High,0,4.67001286769541,31,4269.2,4310.2,4481.4,4344.8,4659,3975.7,5002.3,5123.4,5124.1,5484.8
Q9BQP7,MGME1,Mitochondrial genome maintenance exonuclease 1 ,Homo sapiens ,High,0,4.22507397514688,15,599.3,614.5,1344.1,1443.5,1609.5,2706.2,1684.7,1551.8,3515.7,1721.6
P16455,MGMT,Methylated-DNA--protein-cysteine methyltransferase ,Homo sapiens ,High,0,3.86800928127859,7,1459.5,1360.6,586.7,615.4,671,557.9,463.8,469.5,491.8,703
O60291,MGRN1,E3 ubiquitin-protein ligase MGRN1 ,Homo sapiens ,High,0,3.38774565960886,3,107.7,92.6,286.4,318.3,281.4,293.3,241.1,282.1,267.9,271.2
Q99735,MGST2,Microsomal glutathione S-transferase 2 ,Homo sapiens ,High,0,2.13861843389949,1,13.1,13.4,9.1,8,12.7,13.6,10.1,16.4,24.8,16.4
O14880,MGST3,Microsomal glutathione S-transferase 3 ,Homo sapiens ,High,0,3.71010043322301,4,1215.3,1307.1,458.8,478.4,290.4,344.5,253.4,210.3,291,280.6
Q96PC5,MIA2,Melanoma inhibitory activity protein 2 ,Homo sapiens ,High,0,4.51912021273479,19,3785.3,3997.2,3110.1,3152.4,2876,3398.7,3177.7,2830,3490.1,3228.6
Q5JRA6,MIA3,Melanoma inhibitory activity protein 3 ,Homo sapiens ,High,0,4.8924741660551,60,6197.8,6101.3,8454.3,8178.2,7166.9,8947.2,8662.5,7936.1,8636,7787.9
Q86YT6,MIB1,E3 ubiquitin-protein ligase MIB1 ,Homo sapiens ,High,0,4.06640793031119,15,872,813.9,1249.8,1174.8,1240.2,1097.5,1351.6,1376.7,1097.8,1377.9
Q5XKP0,MIC13,MICOS complex subunit MIC13 ,Homo sapiens ,High,0,4.04347231155135,7,1323.9,1254.8,1238.2,1238.8,1023.6,1205.7,1023.2,966.7,975.8,802.1
Q8TDZ2,MICAL1,Protein-methionine sulfoxide oxidase MICAL1 ,Homo sapiens ,High,0,4.14839594560442,22,2554.9,2800.3,953.4,1008.7,886.6,993,977.2,1146.1,1617.3,1135.8
O94851,MICAL2,Protein-methionine sulfoxide oxidase MICAL2 ,Homo sapiens ,High,0,3.92070756033162,18,239.1,197.6,668.8,641.5,1074.8,1172.8,834.4,1123.8,1105.5,1272.9
Q7RTP6,MICAL3,Protein-methionine sulfoxide oxidase MICAL3 ,Homo sapiens ,High,0,4.19638346902222,21,1440.6,1510.8,1485.2,1452,1541.6,1571.8,1472.8,1695.5,1944.7,1602.5
Q8N3F8,MICALL1,MICAL-like protein 1 ,Homo sapiens ,High,0,4.15526010521871,12,1644.3,1680.4,1289.8,1313.8,1455.3,1315.8,1192.6,1310.4,1490.3,1604.8
Q9BPX6,MICU1,"Calcium uptake protein 1, mitochondrial ",Homo sapiens ,High,0,4.19531282025394,9,978,989,1522,1472.2,1411.3,1933.3,1724.1,1695.3,2335.1,1618.5
Q8IYU8,MICU2,"Calcium uptake protein 2, mitochondrial ",Homo sapiens ,High,0,3.9711505534114,12,769.4,720.6,1066.2,1031.5,905.5,983,1017.2,1027.9,943.4,892.6
Q9NPA3,MID1IP1,Mid1-interacting protein 1 ,Homo sapiens ,High,0,4.14524303508711,7,484.7,378.9,1771,1791.1,2013.7,1091.3,1719.4,2116.6,935.9,1668.9
Q9NQG6,MIEF1,Mitochondrial dynamics protein MID51 ,Homo sapiens ,High,0,3.89659234866983,6,673.9,624.9,918.6,894.8,828.8,814.8,839.5,774.8,689.1,822
Q9BRT3,MIEN1,Migration and invasion enhancer 1 ,Homo sapiens ,High,0,3.56466606425209,3,395.9,466.4,280,313.5,278.4,290.9,389.8,549.5,412.2,293.4
Q8N108,MIER1,Mesoderm induction early response protein 1 ,Homo sapiens ,High,0,4.41418087313205,20,2482.9,2486.5,2692.6,2556.6,2388.3,2464.3,2911.1,2638.2,2853.2,2478.9
Q8N344,MIER2,Mesoderm induction early response protein 2 ,Homo sapiens ,High,0,3.44356024048841,4,123.5,115.9,311.2,335.9,280.5,291.2,302.4,358.6,364.4,293.3
Q7Z3K6,MIER3,Mesoderm induction early response protein 3 ,Homo sapiens ,High,0,3.77447316911874,6,392.7,412.6,623.5,784,706.3,638,638.9,738.9,484.1,530.4
P14174,MIF,Macrophage migration inhibitory factor ,Homo sapiens ,High,0,4.11256813855579,4,1740.5,1318.8,1309.9,1507.2,1840,1184,1052.5,1074.7,908.4,1022.9
A9UHW6,MIF4GD,MIF4G domain-containing protein ,Homo sapiens ,High,0,3.96400492031779,9,549.4,513,942,953.2,1036.7,978.7,1020.6,1208.2,1015.2,987.6
Q8NAN2,MIGA1,Mitoguardin 1 ,Homo sapiens ,High,0,3.08891534660491,3,85.3,91.5,134,139.6,97.9,154.3,121.1,103.5,178.6,121.4
Q7L4E1,MIGA2,Mitoguardin 2 ,Homo sapiens ,High,0,3.00337435401975,3,131.3,141,84.3,91.8,83.9,93,91.5,103.3,111.4,76.3
Q5JXC2,MIIP,Migration and invasion-inhibitory protein ,Homo sapiens ,High,0,3.09999123354468,4,144.7,137.1,152.2,150.5,133.6,92.1,103.4,119.9,95.9,129.5
Q8IUF8,MINA,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA ,Homo sapiens ,High,0,4.17485320442887,17,1328.4,1330.5,1619,1689.3,1644.1,1509.4,1446.7,1726.6,1290.3,1373
Q8N4C8,MINK1,Misshapen-like kinase 1 ,Homo sapiens ,High,0,3.74523879270106,10,1112.5,1167.5,426.8,410.1,385.3,363.8,425.7,407.4,441.2,421.8
Q5TGZ0,MINOS1,MICOS complex subunit MIC10 ,Homo sapiens ,High,0,3.51458759436316,2,302.8,205.9,412.3,338.1,359.2,340.5,393.2,234.7,311.2,372.4
Q9UNW1,MINPP1,Multiple inositol polyphosphate phosphatase 1 ,Homo sapiens ,High,0,3.81927406271272,6,232.8,213.8,640.4,717.3,702.2,900,741.5,845.4,883,719.5
Q9NXC5,MIOS,WD repeat-containing protein mio ,Homo sapiens ,High,0,4.36024303477908,23,2926.3,3067.6,1922.8,2003.9,2015.9,2129.5,2249.2,2204.5,2286.2,2115.6
Q99797,MIPEP,Mitochondrial intermediate peptidase ,Homo sapiens ,High,0,4.58455170855655,26,2026,2179.9,4229.1,4292.2,3842.6,4969.4,4225.8,4094.6,4438,4121.9
Q9H081,MIS12,Protein MIS12 homolog ,Homo sapiens ,High,0,4.12681301004155,8,1581.5,1619.5,1319.4,1319,1058.3,1375.1,1161.5,1295.4,1472.5,1188.8
Q9NYP9,MIS18A,Protein Mis18-alpha ,Homo sapiens ,High,0,4.07831541369329,8,483.5,443.9,1216.2,1275.6,1315.4,1648.4,1571.2,1461.9,1246.3,1313.7
Q6P0N0,MIS18BP1,Mis18-binding protein 1 ,Homo sapiens ,High,0,4.43458646705885,30,822.7,836.8,3209.1,3519.5,3278.3,3345.2,3514,3533.7,2185.7,2956.1
Q8WV92,MITD1,MIT domain-containing protein 1 ,Homo sapiens ,High,0,3.72753312409694,8,390,393.5,511.4,456.6,520.9,546.7,605.9,669.1,732.7,513.1
P46013,MKI67,Proliferation marker protein Ki-67 ,Homo sapiens ,High,0,5.55208012157297,195,5198.4,3797.5,30714.1,30412,42585.8,57269.8,46103,44989.5,47969.2,47477.6
P46013-2,MKI67,Isoform Short of Proliferation marker protein Ki-67 ,Homo sapiens ,High,1,2.96913623359671,40,2.3,NaN,78,77.5,125.9,143.3,143.8,130.3,89,141.3
Q9NPJ1,MKKS,McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin ,Homo sapiens ,Medium,0,2.77136697085778,1,37.6,39.7,66.2,70.8,78.8,80.2,53.7,43.9,63.7,56.1
Q969V6,MKL1,MKL/myocardin-like protein 1 ,Homo sapiens ,High,0,4.08186915584286,11,1229,1182.9,1076.3,1021.9,1232.5,1116.5,1150.8,1266.9,1458.4,1339.3
Q9ULH7,MKL2,MKL/myocardin-like protein 2 ,Homo sapiens ,High,0,3.92090560416402,10,681,701.4,870.7,859.7,865.6,774.3,751.7,903.6,1018,909
Q9UL63,MKLN1,Muskelin ,Homo sapiens ,High,0,4.42422153006718,27,2144,1907.2,3093.7,2721.3,3240.4,2602.1,2889,2823,2305.5,2833.4
Q9BUB5,MKNK1,MAP kinase-interacting serine/threonine-protein kinase 1 ,Homo sapiens ,High,0,3.7540347353001,4,340.1,364.1,526.8,556,622.3,536.8,630.2,703.4,727.8,668.4
Q9HBH9,MKNK2,MAP kinase-interacting serine/threonine-protein kinase 2 ,Homo sapiens ,High,0,3.40616533327655,3,310,204.2,305.8,271.9,306.9,265.8,191.6,197.8,205.8,288
Q9UHC7,MKRN1,E3 ubiquitin-protein ligase makorin-1 ,Homo sapiens ,High,0,3.77991379985026,8,583.7,536.4,486.7,481.4,582.2,516.5,793.8,767.3,578.6,697.8
Q9H000,MKRN2,Probable E3 ubiquitin-protein ligase makorin-2 ,Homo sapiens ,High,0,3.93556772024542,8,741.1,654.6,892.3,822.4,970.6,942.5,1025.9,822.1,861.9,887.8
Q14165,MLEC,Malectin ,Homo sapiens ,High,0,4.51785805500386,18,3096,2886,3331.6,3152.9,3216.5,3482.5,3470.2,2896.3,3498.2,3920
Q15773,MLF2,Myeloid leukemia factor 2 ,Homo sapiens ,High,0,3.75515042767816,5,351,301.3,713.2,699.1,632.6,744.1,573.7,502.3,587.5,585.7
P40692,MLH1,DNA mismatch repair protein Mlh1 ,Homo sapiens ,High,0,4.3786340638496,31,1223.9,1256.9,2671.4,2627,2959.5,2566.6,2837.5,2912.2,2353.1,2504.9
Q9UHC1,MLH3,DNA mismatch repair protein Mlh3 ,Homo sapiens ,Medium,0,2.49234125325497,1,16.3,18.3,51,45.5,41.5,16.7,41.6,38.8,9.8,31.2
Q8NB16,MLKL,Mixed lineage kinase domain-like protein ,Homo sapiens ,High,0,4.22933877544035,14,1056.1,992.2,1475.6,1424.8,1897.7,1601.7,1976.4,2232.1,2071.1,2228.9
Q03111,MLLT1,Protein ENL ,Homo sapiens ,High,0,3.82406071741865,10,502.4,483.9,811.5,787.2,689.6,700.6,712.3,698.8,644.8,637.9
P55197,MLLT10,Protein AF-10 ,Homo sapiens ,High,0,3.17983892802319,5,108.9,116.7,138.5,171.1,169.1,226.2,107.2,138.8,181.2,155.3
Q13015,MLLT11,Protein AF1q ,Homo sapiens ,High,0,3.14776904626015,4,83.5,89.8,126.6,93.4,152.8,122.6,183.4,151.4,226.7,175.1
P42568,MLLT3,Protein AF-9 ,Homo sapiens ,High,0,4.05444068127346,9,1525.3,1583.2,823.6,829.6,880.6,1111.6,1134.4,1136.6,1315.8,994.8
P55198,MLLT6,Protein AF-17 ,Homo sapiens ,High,0,3.8245553581121,10,689.3,634.9,693.6,664.5,657.4,729.7,663.8,592,659.5,691.9
Q9BVC4,MLST8,Target of rapamycin complex subunit LST8 ,Homo sapiens ,High,0,3.61298506851953,7,420.9,431.2,407.1,407.8,425.6,407.1,435.4,434.1,394.8,337.9
Q9UH92,MLX,Max-like protein X ,Homo sapiens ,High,0,3.23666319870341,5,170.4,177.4,232.7,239.5,146,136.4,165.9,164.5,143.5,148.2
Q9HAP2,MLXIP,MLX-interacting protein ,Homo sapiens ,High,0,3.44603983580612,6,348.9,330.2,315.9,278.4,250,264.2,261.7,242.3,257.5,243.7
O95822,MLYCD,"Malonyl-CoA decarboxylase, mitochondrial ",Homo sapiens ,High,0,3.90393061845162,12,1412.5,1414.2,713.6,658.9,537.2,720.7,611,492.3,790.1,665
Q8IVH4,MMAA,"Methylmalonic aciduria type A protein, mitochondrial ",Homo sapiens ,High,0,4.20532077392333,13,1803.3,1789.6,1543.6,1632,1366.2,1763.4,1592.4,1363.3,1681.7,1508.8
Q96EY8,MMAB,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial ",Homo sapiens ,High,0,4.14087242096102,8,1290,1166.9,1277.3,1265.4,1166.6,1750.2,1386.1,1120.8,1904.3,1504
Q9Y4U1,MMACHC,Methylmalonic aciduria and homocystinuria type C protein ,Homo sapiens ,High,0,3.34380233316165,2,119.7,113.9,219.8,211,269.5,223,282.3,254.1,263.5,250.2
Q9H3L0,MMADHC,"Methylmalonic aciduria and homocystinuria type D protein, mitochondrial ",Homo sapiens ,High,0,3.66342763898957,8,176.3,149.5,602,647.9,691.8,548.2,505.2,443.6,344.9,497.7
Q8N4V1,MMGT1,Membrane magnesium transporter 1 ,Homo sapiens ,High,0,4.07858730430299,4,618.1,484.2,1384.7,1219.6,1354.8,1464.7,1428.4,1324.8,1187.6,1516.7
P03956,MMP1,Interstitial collagenase ,Homo sapiens ,Medium,0,3.52378547354619,2,158.3,169.3,329.7,392.2,349,434.9,415.4,368.4,362.3,360.8
Q96T76,MMS19,MMS19 nucleotide excision repair protein homolog ,Homo sapiens ,High,0,4.46097447619766,30,2253.3,2194,2995.3,2762.9,3462.5,2818.8,3208.5,3112.5,2907.8,3189.5
Q6ZRQ5,MMS22L,Protein MMS22-like ,Homo sapiens ,High,0,4.2338536931471,24,868.2,808,1903.5,1868.3,1897.9,1809,2001,2129.7,1983,1865.2
Q9BU76,MMTAG2,Multiple myeloma tumor-associated protein 2 ,Homo sapiens ,High,0,4.09461784857161,12,1159.3,1055.1,1406.6,1400.8,1247,1406,1288.7,1194,1055.1,1221.6
P51948,MNAT1,CDK-activating kinase assembly factor MAT1 ,Homo sapiens ,High,0,4.03861221504293,12,779.3,868.7,1041.5,1148.7,1163.3,1323.4,1068.4,1227,1167.5,1142
Q9BWT6,MND1,Meiotic nuclear division protein 1 homolog ,Homo sapiens ,High,0,3.62071888891348,6,96.7,66.4,493.5,573,530.9,473.9,485.2,550.2,461.9,443.9
Q8NEH6,MNS1,Meiosis-specific nuclear structural protein 1 ,Homo sapiens ,Medium,0,2.26717172840301,1,17.6,16.1,17,22.8,15.1,23.5,18.4,21.2,15.4,17.9
Q99583,MNT,Max-binding protein MNT ,Homo sapiens ,High,0,3.12280546284744,4,150,168.5,124.6,151,116.3,152,113.9,133.1,123.1,94.3
Q7L9L4,MOB1B,MOB kinase activator 1B ,Homo sapiens ,High,0,4.10661240381453,8,1546.3,1421.9,1399,1251.6,1341.3,1058,1107.5,1183.4,1145.6,1327.8
Q70IA6,MOB2,MOB kinase activator 2 ,Homo sapiens ,High,0,3.85952256495829,6,1558.8,1475,593.7,505.2,500.6,376.5,621.5,555.1,500.2,549.8
Q96BX8,MOB3A,MOB kinase activator 3A ,Homo sapiens ,High,0,4.34723045775564,10,2157.5,2741.1,1651.8,1942.1,2044.4,2127.2,2194.5,2970.1,2592.7,1823.5
Q9Y3A3,MOB4,MOB-like protein phocein ,Homo sapiens ,High,0,3.89946482607467,10,1033.6,1069.1,721.1,769.2,630.5,842,678.1,727.4,773.2,689.3
O96007,MOCS2,Molybdopterin synthase catalytic subunit ,Homo sapiens ,High,0,3.72423489649053,8,474.5,551,481.2,524.4,459.5,451.2,645,665.9,570,476.8
O96033,MOCS2,Molybdopterin synthase sulfur carrier subunit ,Homo sapiens ,High,0,3.4047140126689,4,274.5,278.2,241.5,248,240.9,221.9,261.5,264.6,249.8,258.4
O95396,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3 ,Homo sapiens ,High,0,4.04407307432616,15,1614.5,1726.1,988.3,1031.7,1051,958.3,999,993.2,889.8,816.2
Q13724,MOGS,Mannosyl-oligosaccharide glucosidase ,Homo sapiens ,High,0,4.39974811615547,25,3748.6,3802.9,2560.2,2652.1,2217.4,2701.4,1978.6,1682.9,1930.1,1830.1
Q86VX9,MON1A,Vacuolar fusion protein MON1 homolog A ,Homo sapiens ,High,0,3.25669369799819,6,201.5,186.1,174.9,184.2,192.8,204.9,172.9,164.3,173.7,150.6
Q7L1V2,MON1B,Vacuolar fusion protein MON1 homolog B ,Homo sapiens ,High,0,4.00057289069138,16,1049.7,996.7,905.9,890.4,1061.2,866.2,1088,1175.5,997.5,982.1
Q7Z3U7,MON2,Protein MON2 homolog ,Homo sapiens ,High,0,4.25656862703602,33,1619.4,1461.7,1760.6,1749.3,1952.8,1645.7,1905.4,2069.1,1874.5,2015.3
Q7Z3U7-5,MON2,Isoform 5 of Protein MON2 homolog ,Homo sapiens ,Medium,0,4.053942329355,8,983,1115,1026.7,1143.8,1164.4,1035.2,1077.3,1380.6,1185.2,1211.3
Q9Y6X9,MORC2,MORC family CW-type zinc finger protein 2 ,Homo sapiens ,High,0,4.47917350632769,25,3718.1,3464.8,3292.3,3099.8,3186.3,2774.1,2753.3,2449.7,2503.3,2900.4
Q14149,MORC3,MORC family CW-type zinc finger protein 3 ,Homo sapiens ,High,0,4.73911645202465,36,8940.2,8893.4,4860,4602.1,4657.3,3786.5,4743.4,5459.8,4041.9,4857.8
Q8TE76,MORC4,MORC family CW-type zinc finger protein 4 ,Homo sapiens ,High,0,2.9235030669421,2,97.8,95.1,104.8,90.8,68.5,73.7,80.2,63.1,94.4,70.1
Q9UBU8,MORF4L1,Mortality factor 4-like protein 1 ,Homo sapiens ,High,0,4.40042400451134,14,2280,2036.3,3678.5,3326.1,2729.1,2271.9,2325.9,2457.1,1794.8,2243.7
Q15014,MORF4L2,Mortality factor 4-like protein 2 ,Homo sapiens ,High,0,3.92783213286658,10,436.9,413.2,1381.1,1127.1,1124.7,942.6,860.1,747.7,700.3,735.3
Q9UJG1,MOSPD1,Motile sperm domain-containing protein 1 ,Homo sapiens ,High,0,3.00423536635947,2,64.8,52.5,91.4,87.3,106.3,118.8,111.8,94.6,142.4,139.9
Q8NHP6,MOSPD2,Motile sperm domain-containing protein 2 ,Homo sapiens ,High,0,4.10981806831842,14,702.2,573.5,1107.5,1080,1177.4,1644.6,1501.7,1359.3,1947.5,1783.4
Q9HCE1,MOV10,Putative helicase MOV-10 ,Homo sapiens ,High,0,4.6209154189604,36,2358.9,2312.1,2488,2440.6,3937.4,4161,4457.5,5885.8,6958.5,6775.1
P56378,MP68,6.8 kDa mitochondrial proteolipid ,Homo sapiens ,High,0,4.30433108485975,2,2430.1,2415.2,1913.4,2110.7,1903.9,2261.4,1553.4,1726.9,1791,2046.6
O95563,MPC2,Mitochondrial pyruvate carrier 2 ,Homo sapiens ,High,0,3.78314576033908,3,764.5,673.4,626.6,540.4,533.6,614.4,572.7,501.4,672.1,570.3
O75352,MPDU1,Mannose-P-dolichol utilization defect 1 protein ,Homo sapiens ,High,0,3.7723290427164,2,443.8,404.1,663.6,651.6,610.7,755.9,626.3,515.7,596.6,651.8
P29372,MPG,DNA-3-methyladenine glycosylase ,Homo sapiens ,High,0,3.86401242417209,12,660.1,612.8,773,722.9,853.6,795.9,733.2,783.4,619.3,757.4
O00566,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10 ,Homo sapiens ,High,0,4.74471689798205,28,2796.7,2466,6234.1,6359.6,5872.8,8330.3,5883.2,5287,6858.2,5466.3
Q99547,MPHOSPH6,M-phase phosphoprotein 6 ,Homo sapiens ,High,0,4.38293871440144,10,1467.6,1416.7,2878.9,2776.8,2588.3,2998.1,2662.3,2515.2,2404.6,2442.7
Q99549,MPHOSPH8,M-phase phosphoprotein 8 ,Homo sapiens ,High,0,4.34435100392285,24,1845.7,1863.2,2203.8,2304.9,2089.3,2715.8,2080.1,2010,2796.3,2188.8
Q99550,MPHOSPH9,M-phase phosphoprotein 9 ,Homo sapiens ,High,0,3.82214191626178,12,498.5,546.9,725.9,731.4,652.3,620.5,748,775,607.2,733.9
P34949,MPI,Mannose-6-phosphate isomerase ,Homo sapiens ,High,0,4.28140383746511,15,3892.9,3923.1,1494.9,1519.5,1331.1,1203.3,1480.9,1407.3,1327.2,1536.1
